time,inertial_pos_x,inertial_pos_y,inertial_pos_z,mrp_x,mrp_y,mrp_z,css_plus_x,css_minus_x,css_plus_y,css_minus_y,css_plus_z,css_minus_z,mag_ref_x,mag_ref_y,mag_ref_z,sun_ref_x,sun_ref_y,sun_ref_z,mag_x,mag_y,mag_z,sun_vec_b_x,sun_vec_b_y,sun_vec_b_z,omega_x,omega_y,omega_z,rw_speed_x,rw_speed_y,rw_speed_z,rw_pwm_setpoint_x,rw_pwm_setpoint_y,rw_pwm_setpoint_z,error_mrp_x,error_mrp_y,error_mrp_z
0.0,-513159.81499925867,-5397334.80168638,4221565.700567948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.053870519654191e-06,3.862017868049841e-05,-9.261905600826321e-06,-0.23205291982965484,-0.8924618796611148,-0.3868633295497027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23026199919768572,0.021892509775885083,0.0
0.25,-1653767.6505160506,-4592441.563101433,4093833.635404599,0.02608481236697325,-0.13642703875497447,0.013073518036602167,0.012939453125,0.011962890625,0.023193359375,0.005126953125,0.00927734375,0.002685546875,1.9877501295815107e-05,4.461330931685513e-05,-1.3980048867027292e-05,-0.2320528699502835,-0.8924618905782465,-0.38686333428400616,1.1099999999999999e-05,2.6399999999999998e-05,-3.71e-05,0.05071423639083361,0.9382133732304219,0.3423210956381269,0.02007128639793479,-0.019896753472735354,-0.022514747350726852,0.0,0.0,0.0,0.0,0.0,0.0,-0.1722416263054926,-0.04900771094122595,0.06338906037125057
0.5,-1653681.3523302767,-4592472.638715446,4093833.635404599,0.06447971579936336,-0.22105243837159483,0.09963983924518276,0.012939453125,0.011962890625,0.023193359375,0.00537109375,0.00927734375,0.002685546875,1.9876534330565197e-05,4.4613849197485945e-05,-1.3980220303361374e-05,-0.23205282007091163,-0.8924619014953761,-0.3868633390183088,1.07e-05,2.58e-05,-3.74e-05,0.05132424831978589,0.9366675318360924,0.3464386761585547,0.018675022996339326,-0.022165681500327987,-0.01937315469713706,0.0,0.0,0.0,0.0,0.0,0.0,-0.11213774422292264,-0.09236585168796828,0.16675129429733343
0.75,-1653597.707873238,-4592502.756984615,4093833.635404599,-0.02892299451905902,-0.5048623357732142,0.38316914123801976,0.012939453125,0.011962890625,0.02294921875,0.00537109375,0.00927734375,0.002685546875,1.987559708708638e-05,4.4614372453546896e-05,-1.3980386463045219e-05,-0.23205277019153894,-0.8924619124125032,-0.38686334375261033,1.08e-05,2.6399999999999998e-05,-3.7e-05,0.05194805194805195,0.935064935064935,0.35064935064935066,0.027052603405912107,-0.02076941809873252,-0.020594885173533087,0.0,0.0,0.0,0.0,0.0,0.0,-0.08728926532265006,-0.25402873232961665,0.5346564838555251
1.0,-1653514.0089703647,-4592532.893135732,4093833.635404599,-0.2214089461795827,-0.612373927299624,0.7503861960874602,0.012939453125,0.01220703125,0.023193359375,0.005126953125,0.00927734375,0.002685546875,1.9874659218635713e-05,4.461489602548938e-05,-1.3980552724246135e-05,-0.23205272031216573,-0.892461923329628,-0.3868633484869109,1.0399999999999999e-05,2.66e-05,-3.74e-05,0.03805709464116452,0.9387416678153915,0.34251385177048066,0.025132741228718343,-0.017976891295541596,-0.025830872929516076,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.09585651166732972,-0.2558443829570807,0.9562396945740805
1.25,-1653428.1537241123,-4592563.803897273,4093833.635404599,0.16416909502116175,0.5153158667212517,-0.6803670999205728,0.01318359375,0.011962890625,0.023193359375,0.00537109375,0.00927734375,0.002685546875,1.987369717229747e-05,4.461543306058106e-05,-1.398072326195045e-05,-0.23205267043279174,-0.8924619342467505,-0.3868633532212103,1.07e-05,2.63e-05,-3.78e-05,0.06410783287864687,0.9359743600282442,0.34618229754469304,0.02652900463031381,-0.020245819323134222,-0.021642082724729686,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,0.0027690799627973204,0.21827468497971128,-0.8622636939192393
1.5,-1653346.5556563109,-4592593.18025169,4093833.635404599,0.1236088930420987,0.46962131235048,-0.6176938229826274,0.0126953125,0.011962890625,0.02294921875,0.0048828125,0.00927734375,0.002685546875,1.987278281289591e-05,4.4615943440101404e-05,-1.3980885335040392e-05,-0.2320526205534172,-0.8924619451638706,-0.38686335795550886,1.1099999999999999e-05,2.58e-05,-3.7199999999999996e-05,0.03805709464116452,0.9387416678153915,0.34251385177048066,0.024085543677521744,-0.02181661564992912,-0.02076941809873252,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.05447787955444141,0.21505902227023854,-0.7928266482623362
1.75,-1653262.8551055097,-4592623.311825529,4093833.635404599,0.09470892775820916,0.4375631632029684,-0.5735587124103148,0.0126953125,0.01171875,0.02294921875,0.0048828125,0.00927734375,0.002685546875,1.987184488125233e-05,4.4616466948159515e-05,-1.3981051579583023e-05,-0.23205257067404197,-0.8924619560809885,-0.38686336268980637,1.05e-05,2.59e-05,-3.6599999999999995e-05,0.05071423639083361,0.9382133732304219,0.3423210956381269,0.019024088846738195,-0.01884955592153876,-0.019896753472735354,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.09431400321079157,0.21208571318785432,-0.742304203724536
2.0,-1653179.1135815405,-4592653.456425018,4093833.635404599,0.07293888150375535,0.40994844348002507,-0.5413106096261482,0.01318359375,0.011962890625,0.023193359375,0.0048828125,0.00927734375,0.002685546875,1.9870906475555413e-05,4.4616990687741025e-05,-1.3981217898858056e-05,-0.2320525207946661,-0.8924619669981039,-0.3868633674241028,1.1e-05,2.67e-05,-3.78e-05,0.06260279209670931,0.9390418814506396,0.3380550773222303,0.017976891295541596,-0.02129301687433082,-0.025830872929516076,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.12431555918407346,0.20566543720686484,-0.7024835862801323
2.25,-1653095.5197303575,-4592683.546146233,4093833.635404599,0.06025990967717364,0.3856313110963066,-0.516058961087511,0.012939453125,0.011962890625,0.023193359375,0.00537109375,0.00927734375,0.002685546875,1.98699697097965e-05,4.461751347905589e-05,-1.3981383918207454e-05,-0.23205247091528952,-0.892461977915217,-0.3868633721583983,1.0899999999999999e-05,2.6e-05,-3.76e-05,0.05132424831978589,0.9366675318360924,0.3464386761585547,0.024434609527920613,-0.01780235837034216,-0.028797932657906436,0.0,0.0,0.0,-4000.0,4000.0,-4000.0,-0.1432607897855673,0.1973812639286624,-0.668809457962866
