21,-55,595
-92,45,586
126,36,577
-80,-132,568
-33,170,560
153,-112,551
-204,-22,542
144,164,534
4,-231,525
-167,175,517
253,-16,508
-205,-164,500
41,269,492
155,-233,483
-280,69,475
259,141,467
-98,-286,459
-123,283,451
288,-127,443
-304,-102,435
157,285,428
77,-322,420
-279,187,412
337,50,405
-216,-268,397
-21,348,390
254,-244,382
-356,9,375
271,236,367
-40,-360,360
-214,295,353
360,-73,346
-317,-190,339
106,357,332
164,-337,325
-350,138,318
353,135,311
-170,-340,304
-104,367,297
326,-200,291
-377,-72,284
229,309,278
39,-384,271
-289,257,265
388,6,258
-282,-266,252
27,388,246
241,-305,240
-384,61,234
325,214,228
-95,-377,222
-185,342,216
367,-127,210
-357,-154,204
159,354,198
122,-368,192
-338,189,187
376,89,181
-217,-319,176
-55,381,170
297,-243,165
-382,-21,159
266,273,154
-11,-381,149
-248,287,144
376,-44,139
-306,-220,134
76,368,129
191,-321,124
-356,107,119
334,160,114
-137,-343,109
-129,344,105
326,-165,100
-350,-98,96
191,307,91
66,-353,87
-286,214,82
354,34,78
-236,-263,74
-3,351,69
238,-255,65
-346,26,61
271,212,57
-55,-337,53
-185,284,49
326,-84,45
-295,-157,42
110,313,38
129,-303,34
-297,135,31
308,100,27
-158,-279,24
-71,310,20
260,-178,17
-310,-43,14
197,239,10
16,-306,7
-217,213,4
301,-10,1
-229,-195,-1
37,302,-4
178,-250,-7
-303,64,-10
270,158,-14
-92,-302,-17
-136,287,-20
297,-120,-24
-303,-113,-27
148,291,-31
87,-317,-34
-281,176,-38
329,60,-42
-203,-268,-45
-31,338,-49
253,-229,-53
-344,-2,-57
254,235,-61
-28,-348,-65
-215,277,-69
348,-59,-74
-299,-192,-78
90,346,-82
167,-318,-87
-340,122,-91
335,140,-96
-153,-332,-100
-112,350,-105
320,-183,-109
-362,-81,-114
212,306,-119
50,-371,-124
-288,240,-129
376,17,-134
-266,-268,-139
15,379,-144
246,-291,-149
-379,48,-154
313,220,-159
-82,-375,-165
-193,333,-170
368,-115,-176
-350,-164,-181
147,358,-187
133,-364,-192
-345,178,-198
375,101,-204
-208,-328,-210
-68,383,-216
309,-236,-222
-388,-34,-228
262,287,-234
0,-389,-240
-263,286,-246
387,-33,-252
-307,-236,-258
67,381,-265
207,-325,-271
-372,99,-278
341,177,-284
-131,-360,-291
-146,352,-297
344,-160,-304
-361,-113,-311
188,326,-318
80,-366,-325
-305,214,-332
367,48,-339
-237,-281,-346
-15,365,-353
256,-256,-360
-359,16,-367
273,228,-375
-46,-349,-382
-199,286,-390
336,-75,-397
-295,-169,-405
101,320,-412
139,-300,-420
-301,125,-428
302,109,-435
-146,-279,-443
-79,299,-451
254,-163,-459
-291,-50,-467
176,228,-475
23,-279,-483
-200,184,-492
263,0,-500
-187,-170,-508
22,242,-517
140,-184,-525
-215,39,-534
174,109,-542
-50,-184,-551
-79,154,-560
145,-53,-568
-121,-49,-577
43,92,-586
17,-57,-595
